template,wikiproject,top_category,depth
Template:User Chinese cinema task force,film,Category:WikiProject Film user templates,1
Template:Infobox aircraft career/doc,aviation,Category:WikiProject Aviation template instructions,1
Template:Latter Day Saint biography/Dale G. Renlund,latter day saint movement,Category:Latter Day Saint biography templates,1
Template:Severan3,classical greece and rome,Category:Ancient Rome templates,1
Template:Kerala-school-stub,india,Category:WikiProject India stub templates,1
Template:1950s-Malayalam-film-stub,india,Category:WikiProject India stub templates,1
Template:Serena Williams,sports,Category:Sportsperson navigational boxes,2
Template:Kodagu-geo-stub,india,Category:WikiProject India stub templates,2
Template:LTP anni switch,london transport,NONE_CATE,0
Template:Centaur Media,journalism,NONE_CATE,0
Template:WikiProject Military history/Any,military history,Category:WikiProject Military history banner templates,1
Template:Infobox Viceroy styles,biography,Category:People and person infobox templates,2
Template:NYCS Bay Ridge shuttle,new york city public transportation,Category:New York City Subway line templates,2
Template:Infobox royalty,biography,Category:People and person infobox templates,2
Template:WP Animation image category,animation,NONE_CATE,0
Template:User WikiProject Christianity in China,christianity,Category:WikiProject Christianity user boxes,1
Template:User Film awards task force,film,Category:WikiProject Film user templates,1
Template:Greco-Bactrian kings,classical greece and rome,Category:Ancient Greece templates,1
Template:Chembox RSPhrases,chemistry,Category:Chembox templates,1
Template:NYCS Platform Layout IRT Flushing Line/express/61st Street–Woodside,new york city public transportation,Category:New York City Subway platform layout templates,1
Template:Thomas,television,Category:Television templates,2
Template:NYCS Manhattan Bridge south bypass,new york city public transportation,Category:New York City Subway line templates,2
Template:User WP Colorado,colorado,NONE_CATE,0
Template:DadraNagarHaveli-school-stub,india,Category:WikiProject India stub templates,1
Template:WOSO-invite,women's sport,NONE_CATE,0
Template:Drag,powderfinger,NONE_CATE,0
Template:Astronomical objects,astronomy,NONE_CATE,0
Template:Television season ratings,television,Category:Television templates,1
Template:Karnataka-geo-stub,india,Category:WikiProject India stub templates,2
Template:NYCS Platform Layout IRT New Lots Line,new york city public transportation,Category:New York City Subway platform layout templates,1
Template:User WikiProject North Carolina,north carolina,NONE_CATE,0
Template:User Africa Project,africa,NONE_CATE,0
Template:Mercs for Money,disney,Category:Disney templates,2
Template:Pāvilosta municipality,latvia,Category:Latvia templates,2
Template:Sundargarh-geo-stub,india,Category:WikiProject India stub templates,1
Template:Infobox Chinese-language singer and actor,biography,Category:People and person infobox templates,1
Template:NYCS South Ferry,new york city public transportation,Category:New York City Subway line templates,2
Template:C-SPAN,television,Category:Television templates,2
Template:WikiProject Typography/sandbox,typography,NONE_CATE,0
Template:NHL recap,ice hockey,Category:Ice hockey templates,2
Template:Hiero/Serech,writing systems,Category:Writing system templates,2
Template:WelcomeFR,france,NONE_CATE,0
Template:User WP Christianmetal,christian metal,NONE_CATE,0
Template:Hiero/1cartouche,writing systems,Category:Writing system templates,2
Template:User Spirits,spirits,NONE_CATE,0
Template:Harvey Birdman,television,Category:Television templates,2
Template:Unicode chart Kanbun,writing systems,Category:Writing system templates,2
Template:IACGMOOH contestants,television,Category:Television templates,2
Template:Rating,albums,NONE_CATE,0
Template:Cities and parishes of Rēzekne District,latvia,Category:Latvia templates,2
Template:NYCS Fourth far south,new york city public transportation,Category:New York City Subway line templates,2
Template:Mangalore-geo-stub,india,Category:WikiProject India stub templates,1
Template:Flavian dynasty,classical greece and rome,Category:Ancient Rome templates,1
Template:Hank Pym,disney,Category:Disney templates,2
Template:List LDS Temple USA Northwest Map,latter day saint movement,Category:WikiProject Latter Day Saint movement LDS templates,2
Template:Category-Epistemology/header,philosophy,NONE_CATE,0
Template:Monarch of the Glen,journalism,Category:Television templates,2
Template:Latter Day Saint biography/George Albert Smith,latter day saint movement,Category:Latter Day Saint biography templates,1
Template:Postal administrations of Europe,philately,NONE_CATE,0
Template:The Three Little Pigs,television,Category:Television templates,2
Template:User WP Northern Territory,australia,Category:WikiProject Northern Territory templates,1
Template:Aust Beer Glass,beer,NONE_CATE,0
Template:User WP Sri Lanka,sri lanka,NONE_CATE,0
Template:LDS Temple/Oaxaca Mexico Temple,latter day saint movement,Category:WikiProject Latter Day Saint movement LDS templates,2
Template:Lighthouses of Lake Ontario,lighthouses,Category:Lighthouse templates,1
Template:COX,journalism,NONE_CATE,0
Template:Pakistan Star,pakistan,NONE_CATE,0
Template:Jackson, Mississippi,united states,Category:WikiProject Mississippi templates,2
Template:J. J. Abrams,journalism,Category:Television templates,2
Template:WikiProject Military history/Any/sandbox,military history,Category:WikiProject Military history banner templates,1
Template:Television needs production section,journalism,Category:Television templates,1
Template:IUCN2014.3,plants,Category:Botany templates,2
Template:Chessbio,chess,NONE_CATE,0
Template:WPPOETRY,poetry,NONE_CATE,0
Template:Chelmsford Chieftains seasons,ice hockey,Category:Ice hockey templates,2
Template:The Nutcracker,journalism,Category:Television templates,2
Template:Infobox GAA player,biography,Category:Sportsperson infobox templates,1
Template:The Final Cut,pink floyd,Category:Pink Floyd album navigational boxes,1
Template:Unicode chart Early Dynastic Cuneiform,writing systems,Category:Writing system templates,2
Template:Forum Communications,journalism,NONE_CATE,0
Template:12TeamBracket-NCAA,ice hockey,Category:Ice hockey templates,2
Template:WikiProject Syria,syria,NONE_CATE,0
Template:NYCS Jamaica east,new york city public transportation,Category:New York City Subway line templates,2
Template:WikiProject Degrassi,journalism,Category:Television templates,2
Template:Street newspapers,journalism,Category:Newspaper templates,2
Template:LDS sects/Joseph Smith III,latter day saint movement,Category:WikiProject Latter Day Saint movement sects templates,1
Template:WP Grey's task force cat,grey's anatomy,NONE_CATE,0
Template:The Irish Times editors,journalism,Category:Newspaper templates,2
Template:Commemorative coins of the European Union,numismatics,NONE_CATE,0
Template:WP Malta Collaboration (topic),malta,NONE_CATE,0
Template:User WikiProject Mining,mining,NONE_CATE,0
Template:LM Communications,journalism,NONE_CATE,0
Template:Davy Crockett,texas,NONE_CATE,0
Template:User WikiProject South Carolina,united states,Category:WikiProject South Carolina templates,1
Template:India-tv-station-stub,journalism,Category:Television templates,2
Template:Zoos of China,zoo,Category:Zoo templates,1
Template:Contains Runic text,writing systems,Category:Writing system templates,2
Template:Krishnagiri-geo-stub,india,Category:WikiProject India stub templates,1
Template:Unicode chart Samaritan,writing systems,Category:Writing system templates,2
Template:Music-event-stub,concert tours,NONE_CATE,0
Template:WPANIMATION work group to do,animation,NONE_CATE,0
Template:2010s-Marathi-film-stub,india,Category:WikiProject India stub templates,1
Template:COMICS Announcements/Batman,comics,Category:WikiProject Comics announcement templates,1
Template:Pinaceae,plants,Category:Botany templates,1
Template:Sleepy Hollow ratings,television,Category:Television templates,2
Template:Hiero/serekh,writing systems,Category:Writing system templates,2
Template:Malt liquors,beer,NONE_CATE,0
Template:Severan2,classical greece and rome,Category:Ancient Rome templates,1
Template:NYCS Fourth center,new york city public transportation,Category:New York City Subway line templates,2
Template:Lorne Michaels,television,Category:Television templates,2
Template:SGLongRunningDramas,television,Category:Television templates,2
Template:User WP Serbia,serbia,NONE_CATE,0
Template:Golden Globe Award Best Actor TV Drama,journalism,Category:Television templates,2
Template:Star Wars,disney,Category:Disney templates,2
Template:WikiProject Medieval Scotland,medieval scotland,NONE_CATE,0
Template:Astronomy projects navigation,astronomy,NONE_CATE,0
Template:Jūrmala's neighbourhoods,latvia,Category:Latvia templates,1
Template:Television episode ratings,television,Category:Television templates,1
Template:Being Human summary,journalism,Category:Television templates,2
Template:Europe-lit-mag-stub,journalism,Category:Magazine templates,2
Template:European hockey task force invite,ice hockey,NONE_CATE,0
Template:Sanlih Drama Awards Viewers Choice Drama,television,Category:Television templates,2
Template:User WP British Columbia,british columbia,NONE_CATE,0
Template:Marvel Comics characters (M),disney,Category:Disney templates,2
Template:WPMILHIST Announcements/Shell,military history,Category:WikiProject Military history announcement templates,1
Template:2010–11 AIK IF game schedule,ice hockey,Category:Ice hockey templates,1
Template:User WP3K alt,three kingdoms,NONE_CATE,0
Template:Latter Day Saint biography/Thomas S. Monson,latter day saint movement,Category:Latter Day Saint biography templates,1
Template:Footer Latin American Champions Table Tennis Doubles Men,sports,Category:Sportsperson navigational boxes,2
Template:Pakistan-lit-stub,pakistan,Category:WikiProject Pakistan stub templates,1
Template:User Northern Mariana Islands work group,united states,Category:Northern Mariana Islands work group templates,1
Template:Golden Globe Award Best Actress TV Comedy,journalism,Category:Television templates,2
Template:Campaignbox Syrian–Turkish border clashes during the Syrian Civil War,syria,NONE_CATE,0
Template:LDSgeounits,latter day saint movement,Category:WikiProject Latter Day Saint movement LDS templates,1
Template:User WP Hungary,hungary,NONE_CATE,0
Template:Oklahoma-struct-stub,united states,Category:WikiProject Oklahoma templates,1
Template:NYCS Franklin,new york city public transportation,Category:New York City Subway line templates,2
Template:Alan Ball,journalism,Category:Television templates,2
Template:Food and drink newsletters,food and drink,NONE_CATE,0
Template:Hobby-mag-stub,journalism,Category:Magazine templates,2
Template:Hiero/5Fold,ancient egypt,Category:Ancient Egypt templates,2
Template:Infobox brewery,beer,Category:Beer infobox templates,1
Template:Plantlist/sandbox,plants,Category:Botany templates,2
Template:Unicode chart Rumi Numeral Symbols,writing systems,Category:Writing system templates,2
Template:Mangoes,plants,Category:Botany templates,1
Template:Botanist2,plants,Category:Botany templates,1
Template:Infobox guitar model,guitarists,NONE_CATE,0
Template:Contains Tangut text,writing systems,Category:Writing system templates,2
Template:NYCS Fulton far east,new york city public transportation,Category:New York City Subway line templates,2
Template:User Malaysia football,football,NONE_CATE,0
Template:Outline U.S. State,outlines,NONE_CATE,0
Template:Infobox pirate,piracy,NONE_CATE,0
Template:Walt Disney Studios,disney,Category:Disney templates,2
Template:Athani-geo-stub,india,Category:WikiProject India stub templates,2
Template:Ships tasks,ships,NONE_CATE,0
Template:Ancient Roman religion,classical greece and rome,Category:Ancient Rome templates,1
Template:Infobox consort styles,biography,Category:Styles infobox templates,1
Template:User United States comics work group,comics,Category:WikiProject Comics user templates,1
Template:India-university-stub,india,Category:WikiProject India stub templates,1
Template:WikiProject Beer,beer,Category:Beer templates,2
Template:ScreenActorsGuildAwards EnsembleTVDrama 1994–1999,journalism,Category:Television templates,2
Template:NYCS 14th Eighth,new york city public transportation,Category:New York City Subway station complex templates,1
Template:User Syrian Anc,syria,NONE_CATE,0
Template:User interest Korea,korea,Category:Korea user templates,1
Template:LDS-Africa,latter day saint movement,Category:WikiProject Latter Day Saint movement LDS templates,1
Template:Livonian villages,latvia,Category:Latvia templates,1
Template:PSK Sakhalin roster,ice hockey,Category:Ice hockey templates,2
Template:WP Animation article count,animation,NONE_CATE,0
Template:Unicode chart Tirhuta,writing systems,Category:Writing system templates,2
Template:WikiProject Elvis Presley,elvis presley,NONE_CATE,0
Template:WPFILM Announcements/Canadian cinema,film,Category:WikiProject Film announcement templates,1
Template:Uttara Kannada,india,Category:WikiProject Karnataka templates,1
Template:WPMILHIST Task force category,military history,Category:WikiProject Military history assessment category templates,1
Template:Islam GA and FA articles/GA and FA,islam,NONE_CATE,0
Template:Greenwood, Mississippi,united states,Category:WikiProject Mississippi templates,2
Template:Zoos of New Zealand,zoo,Category:Zoo templates,1
Template:Twin Peaks ratings,journalism,Category:Television templates,2
Template:TSN-NHL profile,ice hockey,NONE_CATE,0
Template:AMG,television,Category:Television templates,2
Template:Professional Hockey,ice hockey,Category:Ice hockey templates,2
Template:User Romanian cinema task force,film,Category:WikiProject Film user templates,1
Template:Gerry Anderson,television,Category:Television templates,2
Template:Chembox Jmol,chemistry,Category:Chembox templates,1
Template:Disney–ABC stations,disney,Category:Disney templates,2
Template:Latin kings of Alba Longa family tree,classical greece and rome,Category:Ancient Rome templates,1
Template:Tv.com show,television,Category:Television templates,2
Template:John Lasseter,disney,Category:Disney templates,2
Template:Country data Latvian Socialist Soviet Republic,latvia,Category:Latvia templates,2
Template:Chile lighthouse lists,lighthouses,Category:Lighthouse templates,1
Template:Jackson, Mississippi,mississippi,Category:Mississippi templates,1
Template:LakhimpurKheri-geo-stub,india,Category:WikiProject India stub templates,1
Template:ME-ref,middle-earth,Category:WikiProject Middle-earth article content templates,1
Template:Japanese episode list/sublist,television,NONE_CATE,0
Template:Mark Burnett,journalism,Category:Television templates,2
Template:NYCS West End south express,new york city public transportation,Category:New York City Subway line templates,2
Template:Amreli-geo-stub,india,Category:WikiProject India stub templates,1
Template:User WP Sims 2,video games,Category:WikiProject Video games user templates,1
Template:1993 TVB,television,Category:Television templates,2
Template:Men's national under-18 ice hockey teams,ice hockey,Category:Ice hockey templates,2
Template:Infobox Portuguese royalty styles,biography,Category:People and person infobox templates,2
